Zimmer_Nummer,Anzeigename,Etage,Ausrichtung,Zimmer_Kategorie,PMS_Mapping,Zone_Index,Zone_Label,Room_Type
52,Zimmer 52,0,N,Suite,52,1,Schlafzimmer L,Schlafzimmer
52,Zimmer 52,0,N,Suite,52,2,Schlafzimmer R,Schlafzimmer
52,Zimmer 52,0,N,Suite,52,3,Bad,Badezimmer
53,Zimmer 53,0,N,Doppelzimmer,53,1,Schlafzimmer,Schlafzimmer
53,Zimmer 53,0,N,Doppelzimmer,53,2,Bad,Badezimmer
54,Zimmer 54,0,O,Suite,54,1,Schlafzimmer L,Schlafzimmer
54,Zimmer 54,0,O,Suite,54,2,Schlafzimmer R,Schlafzimmer
54,Zimmer 54,0,O,Suite,54,3,Bad,Badezimmer
101,Zimmer 101,1,W,Doppelzimmer,101,1,Schlafzimmer,Schlafzimmer
101,Zimmer 101,1,W,Doppelzimmer,101,2,Bad,Badezimmer
102,Zimmer 102,1,N,Suite,102,1,Schlafzimmer L,Schlafzimmer
102,Zimmer 102,1,N,Suite,102,2,Schlafzimmer R,Schlafzimmer
102,Zimmer 102,1,N,Suite,102,3,Bad,Badezimmer
103,Zimmer 103,1,N,Doppelzimmer,103,1,Schlafzimmer,Schlafzimmer
103,Zimmer 103,1,N,Doppelzimmer,103,2,Bad,Badezimmer
104,Zimmer 104,1,N,Doppelzimmer,104,1,Schlafzimmer,Schlafzimmer
104,Zimmer 104,1,N,Doppelzimmer,104,2,Bad,Badezimmer
105,Zimmer 105,1,O,Doppelzimmer,105,1,Schlafzimmer,Schlafzimmer
105,Zimmer 105,1,O,Doppelzimmer,105,2,Bad,Badezimmer
107,Zimmer 107,1,O,Suite,107,1,Schlafzimmer,Schlafzimmer
107,Zimmer 107,1,O,Suite,107,2,Kinderzimmer,Kinderzimmer
107,Zimmer 107,1,O,Suite,107,3,Bad,Badezimmer
108,Zimmer 108,1,O,Doppelzimmer,108,1,Schlafzimmer,Schlafzimmer
108,Zimmer 108,1,O,Doppelzimmer,108,2,Bad,Badezimmer
109,Zimmer 109,1,S,Doppelzimmer,109,1,Schlafzimmer,Schlafzimmer
109,Zimmer 109,1,S,Doppelzimmer,109,2,Bad,Badezimmer
110,Zimmer 110,1,W,Doppelzimmer,110,1,Schlafzimmer,Schlafzimmer
110,Zimmer 110,1,W,Doppelzimmer,110,2,Bad,Badezimmer
111,Zimmer 111,1,W,Doppelzimmer,111,1,Schlafzimmer,Schlafzimmer
111,Zimmer 111,1,W,Doppelzimmer,111,2,Bad,Badezimmer
112,Zimmer 112,1,W,Doppelzimmer,112,1,Schlafzimmer,Schlafzimmer
112,Zimmer 112,1,W,Doppelzimmer,112,2,Bad,Badezimmer
114,Zimmer 114,1,W,Doppelzimmer,114,1,Schlafzimmer,Schlafzimmer
114,Zimmer 114,1,W,Doppelzimmer,114,2,Bad,Badezimmer
115,Zimmer 115,1,W,Suite,115,1,Schlafzimmer,Schlafzimmer
115,Zimmer 115,1,W,Suite,115,2,Kinderzimmer,Kinderzimmer
115,Zimmer 115,1,W,Suite,115,3,Bad,Badezimmer
201,Zimmer 201,2,W,Doppelzimmer,201,1,Schlafzimmer,Schlafzimmer
201,Zimmer 201,2,W,Doppelzimmer,201,2,Bad,Badezimmer
202,Zimmer 202,2,N,Suite,202,1,Schlafzimmer L,Schlafzimmer
202,Zimmer 202,2,N,Suite,202,2,Schlafzimmer R,Schlafzimmer
202,Zimmer 202,2,N,Suite,202,3,Bad,Badezimmer
203,Zimmer 203,2,N,Doppelzimmer,203,1,Schlafzimmer,Schlafzimmer
203,Zimmer 203,2,N,Doppelzimmer,203,2,Bad,Badezimmer
204,Zimmer 204,2,N,Doppelzimmer,204,1,Schlafzimmer,Schlafzimmer
204,Zimmer 204,2,N,Doppelzimmer,204,2,Bad,Badezimmer
205,Zimmer 205,2,O,Doppelzimmer,205,1,Schlafzimmer,Schlafzimmer
